region_sub_country,ano,tot_pop,taxa_mudanca_natural_nasc_menos_morte_x1000,taxa_mudanca_natural_x1000,taxa_crescimento_pop_percentage,taxa_bruta_mortalidade_x1000,expec_vida_65_MF_anos,expec_vida_80_MF_anos
Africa,1950,225440,4752,20.9,2.1,26.9,10.7,4.7
Africa,1951,230113,4998,21.5,2.1,26.4,10.7,4.7
Africa,1952,235001,5227,22,2.1,26,10.8,4.8
Africa,1953,240078,5463,22.5,2.1,25.6,10.8,4.8
Africa,1954,245292,5661,22.8,2.2,25.3,10.9,4.8
Africa,1955,250719,5885,23.2,2.2,24.9,10.9,4.8
Africa,1956,256356,6108,23.6,2.2,24.5,10.9,4.8
Africa,1957,262187,6207,23.4,2.2,24.6,10.9,4.8
Africa,1958,268071,6431,23.7,2.2,24.2,10.9,4.9
Africa,1959,274013,6792,24.5,2.4,23.4,11.1,4.9
Africa,1960,280530,6999,24.6,2.4,23.2,11.1,4.9
Africa,1961,287313,7252,24.9,2.4,22.8,11.1,4.9
Africa,1962,294314,7531,25.3,2.4,22.5,11.1,4.9
Africa,1963,301605,7801,25.5,2.5,22.1,11.2,5
Africa,1964,309137,8053,25.7,2.5,21.8,11.2,5
Africa,1965,316984,8283,25.8,2.5,21.6,11.2,5
Africa,1966,325043,8515,25.9,2.6,21.4,11.2,5
Africa,1967,333461,8802,26.1,2.6,21.1,11.3,5
Africa,1968,342240,9144,26.4,2.6,20.7,11.3,5
Africa,1969,351361,9437,26.5,2.6,20.5,11.4,5
Africa,1970,360703,9796,26.8,2.7,20.1,11.4,5
Africa,1971,370401,10172,27.1,2.6,19.8,11.5,5.1
Africa,1972,380252,10443,27.1,2.6,19.7,11.5,5.1
Africa,1973,390372,10866,27.5,2.8,19.2,11.5,5.1
Africa,1974,401271,11246,27.6,2.8,19,11.5,5.1
Africa,1975,412469,11679,27.9,2.9,18.6,11.6,5.1
Africa,1976,424398,12208,28.4,2.8,18.1,11.7,5.1
Africa,1977,436596,12656,28.6,2.7,17.7,11.7,5.2
Africa,1978,448725,13099,28.8,3,17.4,11.8,5.2
Africa,1979,462353,13623,29,2.9,17,11.8,5.2
Africa,1980,476043,14101,29.2,2.9,16.7,11.9,5.3
Africa,1981,490060,14552,29.2,3,16.3,12,5.3
Africa,1982,505182,15041,29.3,3,16,12,5.3
Africa,1983,520736,15160,28.7,2.8,16.5,11.9,5.3
Africa,1984,535729,15481,28.5,2.9,16.2,11.9,5.3
Africa,1985,551546,15908,28.4,2.9,15.9,12,5.3
Africa,1986,567781,16305,28.3,2.8,15.5,12,5.3
Africa,1987,584153,16807,28.4,2.9,15,12.1,5.4
Africa,1988,601049,16961,27.8,2.7,15.1,12.1,5.4
Africa,1989,617725,17449,27.9,2.8,14.6,12.1,5.4
Africa,1990,634992,17629,27.4,2.7,14.5,12.1,5.4
Africa,1991,652558,17804,26.9,2.6,14.6,12.1,5.4
Africa,1992,669649,18018,26.6,2.6,14.5,12.1,5.4
Africa,1993,687466,18447,26.5,2.6,14.2,12.2,5.5
Africa,1994,705777,17889,25,2.4,15.1,12,5.4
Africa,1995,723228,19212,26.2,2.6,13.8,12.2,5.5
Africa,1996,742162,19508,26,2.5,13.7,12.3,5.5
Africa,1997,760785,19857,25.8,2.5,13.6,12.3,5.6
Africa,1998,779984,20084,25.4,2.5,13.6,12.3,5.6
Africa,1999,799979,20835,25.7,2.5,13.2,12.4,5.6
Africa,2000,820180,21507,25.9,2.5,12.8,12.5,5.7
Africa,2001,840985,22076,25.9,2.5,12.6,12.6,5.7
Africa,2002,862395,22639,25.9,2.5,12.4,12.6,5.7
Africa,2003,884427,23321,26,2.5,12.1,12.7,5.7
Africa,2004,907042,24086,26.2,2.6,11.8,12.7,5.8
Africa,2005,930515,24926,26.4,2.6,11.5,12.8,5.8
Africa,2006,954578,25749,26.6,2.6,11.2,12.9,5.8
Africa,2007,979286,26555,26.8,2.6,10.9,12.9,5.8
Africa,2008,1004825,27441,27,2.6,10.6,13,5.9
Africa,2009,1031306,27928,26.7,2.6,10.5,13,5.9
Africa,2010,1058249,28932,27,2.6,10,13.1,5.9
Africa,2011,1086184,29413,26.7,2.5,9.9,13.1,5.9
Africa,2012,1114114,30260,26.8,2.6,9.5,13.2,6
Africa,2013,1143573,30826,26.6,2.6,9.3,13.3,6
Africa,2014,1173987,31269,26.3,2.6,9.2,13.3,6
Africa,2015,1204453,31676,26,2.6,9,13.4,6.1
Africa,2016,1235698,31918,25.5,2.5,8.8,13.5,6.1
Africa,2017,1266719,32272,25.2,2.5,8.7,13.5,6.2
Africa,2018,1299085,32616,24.8,2.5,8.4,13.6,6.2
Africa,2019,1331735,32845,24.4,2.4,8.3,13.7,6.2
Africa,2020,1364276,32841,23.8,2.4,8.4,13,5.8
Africa,2021,1397366,32795,23.2,2.3,8.6,12.8,5.6
Africa,2022,1430140,33841,23.4,2.3,8,13.7,6.2
Africa,2023,1463627,34723,23.4,2.3,7.7,13.9,6.2
Asia,1950,1354938,25831,18.9,1.9,22.8,9.9,4.5
Asia,1951,1381213,26546,19,2,22,10,4.5
