country,Code,Year,life_expectancy,gdp_per_capita,Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2023,66.035,1992.4244,41454709,Asia,2023,2023,2023,2023
Albania,ALB,2023,79.602,18244.293,2811615,Europe,2023,2023,2023,2023
Algeria,DZA,2023,76.261,15159.324,46164169,Africa,2023,2023,2023,2023
Andorra,AND,2023,84.041,64631.297,80825,Europe,2023,2023,2023,2023
Angola,AGO,2023,64.617,7244.893,36749852,Africa,2023,2023,2023,2023
Antigua and Barbuda,ATG,2023,77.598,28967.256,93293,North America,2023,2023,2023,2023
Argentina,ARG,2023,77.395,27104.98,45538356,South America,2023,2023,2023,2023
Armenia,ARM,2023,75.683,19230.19,2943346,Asia,2023,2023,2023,2023
Aruba,ABW,2023,76.353,40516.81,107904,North America,2023,2023,2023,2023
Australia,AUS,2023,83.923,59552.88,26451074,Oceania,2023,2023,2023,2023
Austria,AUT,2023,81.956,65015.133,9130386,Europe,2023,2023,2023,2023
Azerbaijan,AZE,2023,74.429,21262.299,10318161,Asia,2023,2023,2023,2023
Bahamas,BHS,2023,74.552,33105.605,399410,North America,2023,2023,2023,2023
Bahrain,BHR,2023,81.284,57213.09,1569625,Asia,2023,2023,2023,2023
Bangladesh,BGD,2023,74.672,8242.398,171466945,Asia,2023,2023,2023,2023
Barbados,BRB,2023,76.178,19224.463,282302,North America,2023,2023,2023,2023
Belarus,BLR,2023,74.434,27718.322,9115626,Europe,2023,2023,2023,2023
Belgium,BEL,2023,82.115,64185.848,11712836,Europe,2023,2023,2023,2023
Belize,BLZ,2023,73.566,12455.296,411073,North America,2023,2023,2023,2023
Benin,BEN,2023,60.774,3721.2246,14110987,Africa,2023,2023,2023,2023
Bermuda,BMU,2023,82.309,98041.69,64676,North America,2023,2023,2023,2023
Bolivia,BOL,2023,68.581,9843.97,12244104,South America,2023,2023,2023,2023
Bosnia and Herzegovina,BIH,2023,77.85,20126.38,3185033,Europe,2023,2023,2023,2023
Botswana,BWA,2023,69.163,18846.25,2480185,Africa,2023,2023,2023,2023
Brazil,BRA,2023,75.848,19018.238,211140678,South America,2023,2023,2023,2023
Brunei,BRN,2023,75.327,76828.4,458910,Asia,2023,2023,2023,2023
Bulgaria,BGR,2023,75.636,33403.375,6795757,Europe,2023,2023,2023,2023
Burkina Faso,BFA,2023,61.092,2482.0723,23025738,Africa,2023,2023,2023,2023
Burundi,BDI,2023,63.651,828.8611,13689406,Africa,2023,2023,2023,2023
Cambodia,KHM,2023,70.668,6690.5894,17423835,Asia,2023,2023,2023,2023
Cameroon,CMR,2023,63.7,4870.571,28372638,Africa,2023,2023,2023,2023
Canada,CAN,2023,82.63,55918.93,39299053,North America,2023,2023,2023,2023
Cape Verde,CPV,2023,76.059,9288.402,522290,Africa,2023,2023,2023,2023
Cayman Islands,CYM,2023,80.358,78109.35,73009,North America,2023,2023,2023,2023
Central African Republic,CAF,2023,57.408,1135.1362,5152373,Africa,2023,2023,2023,2023
Chad,TCD,2023,55.069,1679.4615,19319025,Africa,2023,2023,2023,2023
Chile,CHL,2023,81.167,29462.64,19658791,South America,2023,2023,2023,2023
China,CHN,2023,77.953,22137.6,1422584878,Asia,2023,2023,2023,2023
Colombia,COL,2023,77.725,18692.385,52321104,South America,2023,2023,2023,2023
Comoros,COM,2023,66.777,3498.8032,850335,Africa,2023,2023,2023,2023
Congo,COG,2023,65.772,6172.2876,6182830,Africa,2023,2023,2023,2023
Costa Rica,CRI,2023,80.799,26292.771,5105469,North America,2023,2023,2023,2023
Cote d'Ivoire,CIV,2023,61.944,6485.316,31165592,Africa,2023,2023,2023,2023
Croatia,HRV,2023,78.58,41116.87,3895973,Europe,2023,2023,2023,2023
Curacao,CUW,2023,76.8,28886.688,185383,North America,2023,2023,2023,2023
Cyprus,CYP,2023,81.648,53420.684,1344937,Europe,2023,2023,2023,2023
Czechia,CZE,2023,79.834,49681.06,10809674,Europe,2023,2023,2023,2023
