entity,Code,year,life_expectancy
Brazil,BRA,1950,48.5286
Brazil,BRA,1951,49.0447
Brazil,BRA,1952,49.5531
Brazil,BRA,1953,49.9883
Brazil,BRA,1954,50.4339
Brazil,BRA,1955,50.8866
Brazil,BRA,1956,51.3433
Brazil,BRA,1957,51.8056
Brazil,BRA,1958,52.2487
Brazil,BRA,1959,52.7043
Brazil,BRA,1960,53.1624
Brazil,BRA,1961,53.5944
Brazil,BRA,1962,54.0165
Brazil,BRA,1963,54.4516
Brazil,BRA,1964,54.8483
Brazil,BRA,1965,55.2429
Brazil,BRA,1966,55.6252
Brazil,BRA,1967,56.0157
Brazil,BRA,1968,56.4704
Brazil,BRA,1969,56.8978
Brazil,BRA,1970,57.338
Brazil,BRA,1971,57.7857
Brazil,BRA,1972,58.2553
Brazil,BRA,1973,58.6812
Brazil,BRA,1974,59.0812
Brazil,BRA,1975,59.5561
Brazil,BRA,1976,60.0072
Brazil,BRA,1977,60.4612
Brazil,BRA,1978,60.9215
Brazil,BRA,1979,61.3654
Brazil,BRA,1980,61.8195
Brazil,BRA,1981,62.2672
Brazil,BRA,1982,62.7083
Brazil,BRA,1983,63.1329
Brazil,BRA,1984,63.5532
Brazil,BRA,1985,63.9795
Brazil,BRA,1986,64.3887
Brazil,BRA,1987,64.7849
Brazil,BRA,1988,65.1613
Brazil,BRA,1989,65.5141
Brazil,BRA,1990,65.8624
Brazil,BRA,1991,66.203
Brazil,BRA,1992,66.5393
Brazil,BRA,1993,66.8923
Brazil,BRA,1994,67.2934
Brazil,BRA,1995,67.7006
Brazil,BRA,1996,68.1084
Brazil,BRA,1997,68.505
Brazil,BRA,1998,68.8482
Brazil,BRA,1999,69.2111
Brazil,BRA,2000,69.5842
Brazil,BRA,2001,69.98
Brazil,BRA,2002,70.3958
Brazil,BRA,2003,70.8841
Brazil,BRA,2004,71.3611
Brazil,BRA,2005,71.8319
Brazil,BRA,2006,72.2963
Brazil,BRA,2007,72.7297
Brazil,BRA,2008,73.1109
Brazil,BRA,2009,73.4569
Brazil,BRA,2010,73.779
Brazil,BRA,2011,74.0473
Brazil,BRA,2012,74.3346
Brazil,BRA,2013,74.6093
Brazil,BRA,2014,74.8225
Brazil,BRA,2015,75.1064
Brazil,BRA,2016,75.0805
Brazil,BRA,2017,75.3835
Brazil,BRA,2018,75.6335
Brazil,BRA,2019,75.8093
Brazil,BRA,2020,74.5058
Brazil,BRA,2021,73.0377
Brazil,BRA,2022,74.8719
Brazil,BRA,2023,75.8482
India,IND,1950,41.1815
India,IND,1951,41.5954
India,IND,1952,42.0866
India,IND,1953,42.3863
India,IND,1954,43.2483
India,IND,1955,43.7399
India,IND,1956,44.133
India,IND,1957,44.4145
India,IND,1958,44.7776
India,IND,1959,45.2602
India,IND,1960,45.6104
India,IND,1961,45.8244
India,IND,1962,46.1335
India,IND,1963,46.4581
India,IND,1964,46.7418
India,IND,1965,45.5579
India,IND,1966,45.8839
India,IND,1967,46.1835
India,IND,1968,47.9249
India,IND,1969,48.2601
India,IND,1970,48.5852
India,IND,1971,48.9023
India,IND,1972,49.2126
India,IND,1973,49.6418
India,IND,1974,50.2589
India,IND,1975,50.7615
India,IND,1976,51.3019
India,IND,1977,51.8221
India,IND,1978,52.4204
India,IND,1979,53.0143
India,IND,1980,53.5928
India,IND,1981,54.1726
India,IND,1982,54.7354
India,IND,1983,55.2829
India,IND,1984,55.8125
India,IND,1985,56.3239
India,IND,1986,56.8193
India,IND,1987,57.2908
India,IND,1988,57.7443
India,IND,1989,58.1959
India,IND,1990,58.6184
India,IND,1991,59.0324
India,IND,1992,59.445
India,IND,1993,59.823
India,IND,1994,60.2372
India,IND,1995,60.6295
India,IND,1996,61.0269
India,IND,1997,61.4393
India,IND,1998,61.8525
India,IND,1999,62.2837
India,IND,2000,62.7492
India,IND,2001,63.1581
India,IND,2002,63.6486
India,IND,2003,64.0862
India,IND,2004,64.4843
India,IND,2005,64.9385
India,IND,2006,65.3726
India,IND,2007,65.8034
India,IND,2008,66.2471
India,IND,2009,66.7001
India,IND,2010,67.1616
India,IND,2011,67.6228
India,IND,2012,68.0763
India,IND,2013,68.499
India,IND,2014,68.9323
India,IND,2015,69.326
India,IND,2016,69.7091
India,IND,2017,70.0676
India,IND,2018,70.4152
India,IND,2019,70.7463
India,IND,2020,70.1563
India,IND,2021,67.2823
India,IND,2022,71.6984
India,IND,2023,72.0026
Japan,JPN,1950,59.2548
Japan,JPN,1951,60.9885
Japan,JPN,1952,62.9959
Japan,JPN,1953,63.3252
Japan,JPN,1954,64.5367
Japan,JPN,1955,65.7115
Japan,JPN,1956,65.5598
Japan,JPN,1957,65.4387
Japan,JPN,1958,67.0429
Japan,JPN,1959,67.4564
Japan,JPN,1960,67.718
Japan,JPN,1961,68.3705
Japan,JPN,1962,68.6668
Japan,JPN,1963,69.7463
Japan,JPN,1964,70.1973
Japan,JPN,1965,70.257
Japan,JPN,1966,71.0552
Japan,JPN,1967,71.401
Japan,JPN,1968,71.6718
Japan,JPN,1969,71.9225
Japan,JPN,1970,72.0073
Japan,JPN,1971,72.827
Japan,JPN,1972,73.2584
Japan,JPN,1973,73.4218
Japan,JPN,1974,73.8494
Japan,JPN,1975,74.3569
Japan,JPN,1976,74.7611
Japan,JPN,1977,75.3257
Japan,JPN,1978,75.6571
Japan,JPN,1979,76.1671
Japan,JPN,1980,76.1408
Japan,JPN,1981,76.5629
Japan,JPN,1982,77.0723
Japan,JPN,1983,77.1069
Japan,JPN,1984,77.5068
Japan,JPN,1985,77.799
Japan,JPN,1986,78.2119
Japan,JPN,1987,78.6307
Japan,JPN,1988,78.5454
Japan,JPN,1989,78.9799
Japan,JPN,1990,78.9928
Japan,JPN,1991,79.262
Japan,JPN,1992,79.303
Japan,JPN,1993,79.4461
Japan,JPN,1994,79.8366
Japan,JPN,1995,79.6837
Japan,JPN,1996,80.3627
Japan,JPN,1997,80.5836
Japan,JPN,1998,80.6487
Japan,JPN,1999,80.6129
Japan,JPN,2000,81.1788
Japan,JPN,2001,81.5101
Japan,JPN,2002,81.7952
Japan,JPN,2003,81.854
Japan,JPN,2004,82.1275
Japan,JPN,2005,82.0073
Japan,JPN,2006,82.3699
Japan,JPN,2007,82.5488
Japan,JPN,2008,82.6332
Japan,JPN,2009,82.9699
Japan,JPN,2010,82.916
Japan,JPN,2011,82.6705
Japan,JPN,2012,83.1676
Japan,JPN,2013,83.4018
Japan,JPN,2014,83.6434
Japan,JPN,2015,83.8832
Japan,JPN,2016,84.0568
Japan,JPN,2017,84.1891
