ano,tot_pop,t2,t3,t4,t5,t6
1950,175982,8.1,1.97,4758,10.6,4.7
1951,179480,8.3,2.01,4778,10.6,4.7
1952,183129,8.5,2.04,4810,10.7,4.7
1953,186899,8.6,2.04,4845,10.7,4.8
1954,190752,8.8,2.09,4879,10.8,4.8
1955,194788,9,2.13,4918,10.8,4.8
1956,198989,9.2,2.18,4959,10.8,4.8
1957,203368,9.4,2.15,5135,10.8,4.8
1958,207787,9.6,2.13,5183,10.8,4.8
1959,212270,9.8,2.31,5096,10.9,4.9
1960,217228,10.1,2.36,5179,11,4.9
1961,222413,10.3,2.4,5251,11,4.9
1962,227813,10.5,2.44,5290,11,4.9
1963,233434,10.8,2.47,5373,11.1,4.9
1964,239258,11.1,2.52,5438,11.1,4.9
1965,245357,11.4,2.54,5530,11.1,5
1966,251667,11.7,2.55,5668,11.1,5
1967,258158,12,2.59,5742,11.2,5
1968,264941,12.3,2.63,5780,11.3,5
1969,272009,12.6,2.63,5877,11.3,5
1970,279252,12.9,2.67,5928,11.3,5
1971,286814,13.3,2.65,5997,11.4,5.1
1972,294520,13.7,2.65,6155,11.4,5.1
1973,302426,14,2.75,6159,11.5,5.1
1974,310862,14.4,2.79,6285,11.5,5.1
1975,319656,14.8,2.8,6375,11.6,5.1
1976,328716,15.2,2.79,6357,11.7,5.2
1977,338015,15.7,2.72,6426,11.7,5.2
1978,347343,16.1,3.01,6520,11.8,5.2
1979,357947,16.6,2.91,6599,11.8,5.3
1980,368526,17.1,2.84,6701,11.9,5.3
1981,379128,17.6,3.04,6805,11.9,5.3
1982,390832,18.2,3.06,6918,11.9,5.3
1983,402975,18.7,2.85,7350,11.8,5.3
1984,414633,19.2,2.95,7504,11.8,5.3
1985,427044,19.8,2.95,7602,11.9,5.3
1986,439836,20.4,2.92,7720,11.9,5.3
1987,452866,21,2.95,7698,12,5.4
1988,466416,21.6,2.81,8013,11.9,5.4
1989,479725,22.3,2.87,7951,12,5.4
1990,493691,22.9,2.78,8180,12,5.4
1991,507622,23.5,2.71,8469,11.9,5.4
1992,521549,24.2,2.74,8697,11.9,5.4
1993,536041,24.9,2.77,8729,12,5.5
1994,551121,25.5,2.55,9652,11.7,5.4
1995,565364,26.2,2.74,8955,12,5.5
1996,581082,26.9,2.65,9165,12,5.5
1997,596657,27.7,2.64,9292,12,5.5
1998,612624,28.4,2.69,9589,12,5.5
1999,629325,29.2,2.66,9523,12.1,5.6
2000,646262,30,2.67,9494,12.2,5.7
2001,663765,30.8,2.69,9576,12.2,5.7
2002,681869,31.6,2.71,9631,12.3,5.7
2003,700563,32.5,2.72,9639,12.4,5.7
2004,719906,33.4,2.75,9620,12.5,5.8
2005,739963,34.3,2.75,9630,12.5,5.8
2006,760562,35.3,2.75,9621,12.6,5.8
2007,781769,36.3,2.77,9572,12.6,5.8
2008,803684,37.3,2.78,9526,12.7,5.9
2009,826304,38.3,2.74,9750,12.7,5.9
2010,849243,39.4,2.8,9478,12.9,5.9
2011,873312,40.5,2.74,9646,12.8,5.9
2012,897577,41.6,2.76,9438,13,6
2013,922679,42.8,2.75,9436,13,6
2014,948433,44,2.67,9591,13,6
2015,974136,45.2,2.69,9634,13.1,6.1
2016,1000677,46.4,2.58,9677,13.2,6.1
2017,1026862,47.6,2.61,9757,13.2,6.2
2018,1054046,48.8,2.62,9623,13.3,6.2
2019,1081978,50.1,2.57,9715,13.4,6.3
2020,1110090,51.4,2.57,9892,13,6
2021,1138953,52.7,2.48,10375,12.7,5.8
2022,1167589,54.1,2.47,10137,13.4,6.2
2023,1196738,55.4,2.56,9842,13.6,6.2
